p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
3,0,2,2,0,2,24,-92544.44897523073,-92394.4634348014,False,151.5844333999994,
3,0,3,0,0,0,24,-92189.91105050083,-92061.35201584712,False,6.2891457000005175,
3,0,3,0,0,1,24,-92321.20691566414,-92185.50571241856,False,34.582388300001185,
3,0,3,0,0,2,24,-92419.67512845612,-92276.83175661866,False,137.54594329999964,
3,0,3,1,0,0,24,-92351.52673359824,-92215.82553035265,False,46.36229470000035,
3,0,3,1,0,1,24,-92359.514331956,-92216.67096011854,False,36.71431970000049,
3,0,3,1,0,2,24,-92446.63639034927,-92296.65084991994,False,139.18108650000067,
3,0,3,2,0,0,24,-92492.54208313614,-92349.69871129868,False,141.48503880000135,
3,0,3,2,0,1,24,-92480.99170444565,-92331.00616401632,False,154.1539472000004,
3,0,3,2,0,2,24,-92546.23188482884,-92389.10417580763,False,159.40402180000092,
